player_club,h,rank
Man City,427,428
Real Madrid,426,427
Bayern Munich,425,426
Liverpool,424,425
AS Roma,423,424
Paris SG,422,423
Bor. Dortmund,421,422
Inter,420,421
Chelsea,419,420
B. Leverkusen,418,419
Villarreal,417,418
Benfica,416,417
Barcelona,415,416
Atlético Madrid,414,415
RB Leipzig,413,414
Man Utd,412,413
FC Porto,411,412
Arsenal,410,411
Atalanta BC,409,410
West Ham,408,409
AC Milan,407,408
Juventus,406,407
Club Brugge,405,406
Feyenoord,404,405
Napoli,403,404
Ajax,402,403
Sevilla FC,401,402
E. Frankfurt,400,401
Lazio,399,400
PSV Eindhoven,398,399
Sporting CP,397,398
Rangers,396,397
Real Sociedad,395,396
Dinamo Zagreb,394,395
LOSC Lille,393,394
Shakhtar D.,392,393
Slavia Prague,391,392
Marseille,390,391
RB Salzburg,389,390
Fiorentina,388,389
AZ Alkmaar,387,388
Tottenham,386,387
Olympiacos,385,386
SC Braga,384,385
Stade Rennais,383,384
FC Copenhagen,382,383
Red Star,381,382
Fenerbahce,380,381
KAA Gent,379,380
PAOK Salonika,378,379
Monaco,377,378
M. Tel Aviv,376,377
Real Betis,375,376
BSC Young Boys,374,375
Slo. Bratislava,373,374
FC Basel,372,373
Celtic,371,372
Ferencváros,370,371
Bodø/Glimt,369,370
Galatasaray,368,369
Qarabag FK,367,368
Viktoria Plzen,366,367
Sparta Prague,365,366
Aston Villa,364,365
Molde FK,363,364
FC Midtjylland,362,363
Union SG,361,362
SC Freiburg,360,361
LASK,359,360
Olympique Lyon,358,359
Dynamo Kyiv,357,358
Union Berlin,356,357
Leicester,355,356
Ludogorets,354,355
Partizan,353,354
Legia Warszawa,352,353
Royal Antwerp,351,352
Basaksehir,350,351
OGC Nice,349,350
FC Sheriff,348,349
Rapid Vienna,347,348
Djurgården,346,347
RSC Anderlecht,345,346
Lech Poznan,344,345
CFR Cluj,343,344
Sturm Graz,342,343
Maccabi Haifa,341,342
Sivasspor,340,341
H. Beer Sheva,339,340
Zorya Lugansk,338,339
TSG Hoffenheim,337,338
Bor. M'gladbach,336,337
Omonia Nicosia,335,336
Brighton,334,335
FCSB,333,334
Malmö FF,332,333
Stade Brestois,331,332
Zenit S-Pb,330,331
Granada CF,329,330
NK Olimpija,328,329
Besiktas,327,328
Shamrock Rovers,326,327
Lens,325,326
SC Dnipro-1,324,325
Spartak Moscow,323,324
Zalgiris,322,323
HNK Rijeka,321,322
HJK Helsinki,320,321
FC Flora,319,320
KRC Genk,318,319
Trabzonspor,317,318
KÍ Klaksvík,316,317
Heart of Midl.,315,316
VfL Wolfsburg,314,315
FC Astana,313,314
Servette FC,312,313
APOEL Nicosia,311,312
Toulouse,310,311
Loko Moscow,309,310
KuPS,308,309
Riga,307,308
Hajduk Split,306,307
Zrinjski Mostar,305,306
RFS,304,305
Lincoln FC,303,304
Aberdeen FC,302,303
Wolfsberger AC,301,302
AEK Athens,300,301
Vit. Guimarães,299,300
NK Maribor,298,299
VfB Stuttgart,297,298
CSKA-Sofia,296,297
Vitesse,295,296
Breidablik,294,295
NK Osijek,293,294
FC Drita,292,293
The New Saints,291,292
FC Lugano,290,291
Apol. Limassol,289,290
Linfield,288,289
Spartak Trnava,287,288
Pyunik Yerevan,286,287
Petrocub,285,286
B. Banja Luka,284,285
Girona,283,284
Newcastle,282,283
FC Nantes,281,282
FC Ballkani,280,281
Twente FC,279,280
Raków,278,279
Neftchi PFK,277,278
Krasnodar,276,277
B. Podgorica,275,276
Dunajska Streda,274,275
Fehérvár,273,274
Tobol Kostanay,272,273
Víkingur,271,272
Shkendija,270,271
Austria Vienna,269,270
FC Vaduz,268,269
AEK Larnaca,267,268
Ararat-Armenia,266,267
Vojvodina,265,266
Panathinaikos,264,265
Randers FC,263,264
Anorthosis,262,263
Nordsjaelland,261,262
Bologna,260,261
Athletic,259,260
Elfsborg,258,259
Larne FC,257,258
Rosenborg,256,257
Aris Saloniki,255,256
BATE Borisov,254,255
Dinamo Tbilisi,253,254
B36 Tórshavn,252,253
F91 Dudelange,251,252
Bröndby IF,250,251
Paide,249,250
Häcken,248,249
FK TSC,247,248
Dinamo Batumi,246,247
NK Celje,245,246
Jablonec,244,245
FC Shkupi,243,244
Dundalk FC,242,243
FK Cukaricki,241,242
Panevezys,240,241
KF Tirana,239,240
FK Partizani,238,239
FCI Levadia,237,238
CS U Craiova,236,237
Puskás AFC,235,236
Sepsi OSK,234,235
1.FC Köln,233,234
NS Mura,232,233
Alashkert FC,231,232
Inter Escaldes,230,231
Heidenheim,229,230
Silkeborg IF,228,229
Hamrun Spart.,227,228
Jagiellonia,226,227
FK Sarajevo,225,226
HB Tórshavn,224,225
Dinamo Minsk,223,224
Slovacko,222,223
Hibernians FC,221,222
Hammarby,220,221
Sutjeska Niksic,219,220
Valmiera,218,219
Gzira Utd.,217,218
La Fiorita,216,217
Milsami,215,216
St. Pat's,214,215
Pogon Szczecin,213,214
Slovan Liberec,212,213
Suduva,211,212
Kairat Almaty,210,211
CS Fola Esch,209,210
KF Laçi,208,209
MSK Zilina,207,208
Kauno Zalgiris,206,207
KF Vllaznia,205,206
Struga,204,205
Derry City,203,204
Tre Penne,202,203
Connah's Quay,201,202
FC Zürich,200,201
Brann,199,200
Ruzomberok,198,199
Differdange 03,197,198
Aris Limassol,196,197
Soligorsk,195,196
Europa FC,194,195
Aarhus GF,193,194
Vorskla Poltava,192,193
Levski Sofia,191,192
Hibernian FC,190,191
Velez Mostar,189,190
Bala,188,189
Floriana,187,188
Pr. Niederkorn,186,187
Iberia 1999,185,186
FC St. Gallen,184,185
FC Noah,183,184
Ordabasy,182,183
FC U Craiova,181,182
Viking,180,181
Dynamo Brest,179,180
Kolos Kovalivka,178,179
FC Luzern,177,178
FC Dila,176,177
Pafos FC,175,176
Sabah FK,174,175
Slask Wroclaw,173,174
FK Decic Tuzi,172,173
FC Santa Coloma,171,172
Torpedo Zhodino,170,171
Crusaders,169,170
St Joseph's FC,168,169
Liepaja,167,168
FC Urartu,166,167
Víkingur,165,166
Sumgayit,164,165
Zira FC,163,164
Motherwell FC,162,163
Loko Plovdiv,161,162
KF Teuta,160,161
Sfintul Gheor.,159,160
FC Honka,158,159
Neman Grodno,157,158
Auda,156,157
CSKA 1948,155,156
AC Escaldes,154,155
Bruno's Magpies,153,154
KF Llapi,152,153
Botev Plovdiv,151,152
UE Santa Coloma,150,151
Sligo Rovers,149,150
Hesperange,148,149
CSKA Moscow,147,148
Standard Liège,146,147
FC Inter,145,146
Bohemians,144,145
Tre Fiori,143,144
NK Domzale,142,143
Glentoran,141,142
SC Gjilani,140,141
FK Qabala,139,140
Cercle Brugge,138,139
Aktobe,137,138
Zimbru Chisinau,136,137
Torpedo Kutaisi,135,136
Ilves,134,135
CA Osasuna,133,134
Adana Demirspor,132,133
Gil Vicente,131,132
Shamakhi,130,131
Viborg FF,129,130
Santa Clara,128,129
Paços Ferreira,127,128
Shakhter K.,126,127
Ararat Yerevan,125,126
Newtown,124,125
R Charleroi SC,123,124
AIK,122,123
Sileks,121,122
Hafnarfjördur,120,121
FC Prishtina,119,120
Rio Ave,118,119
St. Johnstone,117,118
KR Reykjavík,116,117
Coleraine,115,116
RFCU Luxembourg,114,115
Makedonija,113,114
Birkirkara FC,112,113
Zeljeznicar,111,112
B. Jerusalem,110,111
FCV Farul,109,110
Wisla Kraków,108,109
Kryvbas,107,108
Paksi FC,106,107
KF Egnatia,105,106
Cliftonville,104,105
Stjarnan,103,104
Mlada Boleslav,102,103
Kilmarnock FC,101,102
KA Akureyri,100,101
Qyzyljar,99,100
Dundee United,98,99
Kisvárda,97,98
Arouca,96,97
Rubin Kazan,95,96
Sochi,94,95
Lillestrøm,93,94
Willem II,92,93
Újpest FC,91,92
AEL Limassol,90,91
Rostov,89,90
Stade Reims,88,89
Konyaspor,87,88
Sönderjyske,86,87
Piast Gliwice,85,86
FC Locomotive,84,85
NK Lokomotiva,83,84
Alanyaspor,82,83
NSÍ Runavík,81,82
Desna,80,81
FK Iskra,79,80
Debrecen,78,79
Banik Ostrava,77,78
St. Mirren,76,77
Tromsø,75,76
Mornar Bar,74,75
M. Petah Tikva,73,74
Corvinul,72,73
Bohemians 1905,71,72
Zalaegerszeg,70,71
Kalmar FF,69,70
Kecskemét,68,69
Haverfordwest,67,68
KF Dukagjini,66,67
FC Koper,65,66
Maccabi Netanya,64,65
Gomel,63,64
FK Tuzla City,62,63
Vålerenga,61,62
FC Ashdod,60,61
Arda Kardzhali,59,60
Dynamo Moscow,58,59
OFI Crete FC,57,58
Honvéd,56,57
IFK Göteborg,55,56
Valur,54,55
JFK Ventspils,53,54
Lechia Gdansk,52,53
TSV Hartberg,51,52
Radnicki Nis,50,51
FC Botosani,49,50
Renova,48,49
SS Folgore,47,48
Kaysar,46,47
SJK Seinäjoki,45,46
FK Kukësi,44,45
Riteriai,43,44
Balzan FC,42,43
Sliema Wander.,41,42
Cherno More,40,41
Go Ahead Eagles,39,40
Shelbourne,38,39
Radnicki 1923,37,38
Caernarfon,36,37
NK Bravo,35,36
Polissya,34,35
FK TransINVEST,33,34
Virtus,32,33
FC Haka,31,32
Cosmos,30,31
Arsenal Tivat,29,30
Penybont,28,29
Hegelmann,27,28
FC Gagra,26,27
Mosta FC,25,26
FK Podgorica,24,25
Brera Strumica,23,24
Mons Calpe,22,23
Slavia Sofia,21,22
Zeta Golubovac,20,21
Siroki Brijeg,19,20
Shirak Gyumri,18,19
Cracovia,17,18
Valletta,16,17
Sant Julia,15,16
Kalju FC,14,15
Dinamo-Auto,13,14
Sirens FC,12,13
Titus Petange,11,12
JK Trans Narva,10,11
Tikves,9,10
Marsaxlokk,8,9
FC UNA Strassen,7,8
Kalev,6,7
Isloch,5,6
FA Siauliai,4,5
FC Malisheva,3,4
VPS,2,3
Barry Town,1,2
