nationality,fifa,rank
Argentina,210,211
France,209,210
Spain,208,209
England,207,208
Brazil,206,207
Portugal,205,206
Netherlands,204,205
Belgium,203,204
Italy,202,203
Germany,201,202
Uruguay,200,201
Colombia,199,200
Croatia,198,199
Morocco,197,198
Japan,196,197
United States,195,196
Senegal,194,195
Iran,193,194
Mexico,192,193
Switzerland,191,192
Denmark,190,191
Austria,189,190
"Korea, South",188,189
Ecuador,187,188
Ukraine,186,187
Australia,185,186
Sweden,184,185
T√ºrkiye,183,184
Wales,182,183
Hungary,181,182
Canada,180,181
Serbia,179,180
Egypt,178,179
Russia,177,178
Poland,176,177
Panama,175,176
Algeria,174,175
Romania,173,174
Greece,172,173
Peru,171,172
Slovakia,170,171
Czech Republic,169,170
Norway,168,169
Nigeria,167,168
Scotland,166,167
Cote d'Ivoire,165,166
Venezuela,164,165
Qatar,163,164
Cameroon,162,163
Chile,161,162
Mali,160,161
Tunisia,159,160
Paraguay,158,159
Costa Rica,157,158
Slovenia,156,157
Iraq,155,156
South Africa,154,155
Uzbekistan,153,154
Saudi Arabia,152,153
Ireland,151,152
DR Congo,150,151
Jamaica,149,150
United Arab Emirates,148,149
Jordan,147,148
Albania,146,147
Burkina Faso,145,146
North Macedonia,144,145
Georgia,143,144
Finland,142,143
Iceland,141,142
N. Ireland,140,141
Cape Verde,139,140
Montenegro,138,139
Bosnia-Herzegovina,137,138
Honduras,136,137
Israel,135,136
Ghana,134,135
Guinea,133,134
Bolivia,132,133
Oman,131,132
Bahrain,130,131
Bulgaria,129,130
El Salvador,128,129
Gabon,127,128
Angola,126,127
Haiti,125,126
Zambia,124,125
Uganda,123,124
New Zealand,122,123
China,121,122
Curacao,120,121
Luxembourg,119,120
Equat. Guinea,118,119
Benin,117,118
Syria,116,117
Mozambique,115,116
Thailand,114,115
Belarus,113,114
Kosovo,112,113
Armenia,111,112
Palestine,110,111
Trinidad and Tobago,109,110
Comoros,108,109
Tajikistan,107,108
Guatemala,106,107
Tanzania,105,106
Kyrgyzstan,104,105
Kenya,103,104
Mauritania,102,103
Kazakhstan,101,102
Namibia,100,101
Lebanon,99,100
Sudan,98,99
"Korea, North",97,98
Madagascar,96,97
Vietnam,95,96
Azerbaijan,94,95
Libya,93,94
Togo,92,93
Guinea-Bissau,91,92
Zimbabwe,90,91
Niger,89,90
Estonia,88,89
Rwanda,87,88
Indonesia,86,87
The Gambia,85,86
India,84,85
Congo,83,84
Sierra Leone,82,83
Cyprus,81,82
Malawi,80,81
Malaysia,79,80
Nicaragua,78,79
Kuwait,77,78
Central African Republic,76,77
Botswana,75,76
Faroe Islands,74,75
Suriname,73,74
Burundi,72,73
Latvia,71,72
Dominican Republic,70,71
Lithuania,69,70
Turkmenistan,68,69
St. Kitts & Nevis,67,68
Liberia,66,67
Ethiopia,65,66
Fiji,64,65
Solomon Islands,63,64
Philippines,62,63
Lesotho,61,62
Moldova,60,61
Neukaledonien,59,60
Tahiti,58,59
Guyana,57,58
Afghanistan,56,57
Hong Kong,55,56
Puerto Rico,54,55
Yemen,53,54
Eswatini,52,53
Antigua and Barbuda,51,52
Singapore,50,51
Maldives,49,50
Vanuatu,48,49
Cuba,47,48
C. Taipei,46,47
Bermuda,45,46
Myanmar,44,45
St. Lucia,43,44
Malta,42,43
South Sudan,41,42
Andorra,40,41
Papua N. Guinea,39,40
St. Vincent,38,39
Grenada,37,38
Nepal,36,37
Chad,35,36
Barbados,34,35
Belize,33,34
Mauritius,32,33
Cambodia,31,32
Montserrat,30,31
Bhutan,29,30
Dominica,28,29
Brunei,27,28
Bangladesh,26,27
Laos,25,26
Mongolia,24,25
A. Samoa,23,24
S√£o Tom√© and P.,22,23
Cook Islands,21,22
Djibouti,20,21
Samoa,19,20
Macau,18,19
Cayman Islands,17,18
Aruba,16,17
Timor-Leste,15,16
Gibraltar,14,15
Pakistan,13,14
Tonga,12,13
Sri Lanka,11,12
Seychelles,10,11
Somalia,9,10
Guam,8,9
Liechtenstein,7,8
Bahamas,6,7
Turks-Caicos,5,6
B. Virgin,4,5
US Virgin,3,4
Anguilla,2,3
San Marino,1,2
Guadeloupe,0,1
Equatorial Guinea,133,134
Northern Ireland,151,152
Martinique,0,1
French Guiana,0,1
Macao,0,1
Saint-Martin,0,1
Isle of Man,0,1
Hongkong,0,1
RÈunion,0,1
Guernsey,0,1
